,index,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
6059,53920,Vacant/Abandoned Building,16-02527269,2016-04-15,Front,,Open,FRONT,Vacant,false,true,1417,E,71ST,ST,60619,1186979.24360147,1858212.77917548,8,3,43,41.76604341885313,-87.59020998847244,"(41.76604341885313, -87.59020998847244)"
6060,53921,Vacant/Abandoned Building,16-02570784,2016-04-16,Front,,Open,FRONT DOOR IS OPEN,Vacant,false,false,8026,S,BRANDON,AVE,60617,1198877.2131268,1852362.27060623,7,4,46,41.749698889139815,-87.5467967585595,"(41.749698889139815, -87.5467967585595)"
6061,53922,Vacant/Abandoned Building,16-02571159,2016-04-16,Rear,,Boarded,,Vacant,false,false,9660,S,OGLESBY,AVE,60617,1193744.14948173,1841353.12021261,7,4,51,41.71961602643653,-87.56596575141974,"(41.71961602643653, -87.56596575141974)"
6062,53923,Vacant/Abandoned Building,16-02581820,2016-04-17,Rear,,Open,SIDE REAR WINDOWS,Vacant,false,false,7331,S,CAMPBELL,AVE,60629,1160978.92339739,1855960.73692849,18,8,66,41.76044038081612,-87.68557249556449,"(41.76044038081612, -87.68557249556449)"
6063,53924,Vacant/Abandoned Building,16-02457885,2016-04-12,Front,,Open,,Vacant,false,false,7338,S,ROCKWELL,ST,60629,1160311.65360856,1855903.75920947,18,8,66,41.76029778757836,-87.68801964234608,"(41.76029778757836, -87.68801964234608)"
6064,53925,Vacant/Abandoned Building,16-02476211,2016-04-13,Rear,,Boarded,FRONT,Vacant,true,false,9158,S,AVALON,AVE,60619,1186135.60519607,1844502.83219063,8,4,47,41.72844190887733,-87.59373411020285,"(41.72844190887733, -87.59373411020285)"
6065,53926,Vacant/Abandoned Building,16-02108219,2016-03-29,Front,,Open,FRONT DOOR,Vacant,false,true,1333,S,KEELER,AVE,60623,1148596.7610772,1893487.52463292,24,10,29,41.863666268955384,-87.72998843866345,"(41.863666268955384, -87.72998843866345)"
6066,53927,Vacant/Abandoned Building,16-01959155,2016-03-23,Front,,Boarded,,Vacant,false,false,3923,W,ROOSEVELT,RD,60624,1150335.76988628,1894421.17270357,24,10,29,41.86619459442984,-87.72358024526599,"(41.86619459442984, -87.72358024526599)"
6067,53928,Vacant/Abandoned Building,16-01959417,2016-03-23,Front,,Boarded,,Vacant,false,false,1509,S,KENNETH,AVE,60623,1146966.13973026,1892275.80386892,24,10,29,41.86037244644147,-87.73600535959626,"(41.86037244644147, -87.73600535959626)"
6068,53929,Vacant/Abandoned Building,16-01218733,2016-02-29,Front,,Open,,Vacant,false,false,5622,S,WOLCOTT,AVE,60636,1164647.07751033,1867387.13899417,15,7,67,41.7917193589455,-87.67180639648835,"(41.7917193589455, -87.67180639648835)"
6069,53930,Vacant/Abandoned Building,16-03378792,2016-05-16,Front,,Open,,Vacant,false,true,13135,S,BUFFALO,AVE,60633,1200084.02927878,1818474.23931144,10,4,55,41.65667675774092,-87.54351345401501,"(41.65667675774092, -87.54351345401501)"
6070,53931,Vacant/Abandoned Building,16-03371698,2016-05-16,Front,,Open,FRONT,Vacant,false,false,5726,S,PEORIA,ST,60621,1171285.15496619,1866868.49470977,16,7,68,41.790153397142696,-87.64748099028837,"(41.790153397142696, -87.64748099028837)"
6071,53932,Vacant/Abandoned Building,16-03372073,2016-05-16,,,,,,,,7828,S,MARQUETTE,AVE,60649,1195680.30709959,1853585.35620864,7,4,43,41.75313472617672,-87.55847094044275,"(41.75313472617672, -87.55847094044275)"
6072,53933,Vacant/Abandoned Building,16-03278997,2016-05-12,Front,,Open,FRONT-REAR,Vacant,true,true,3222,W,HURON,ST,60624,1154692.81258324,1904482.17912463,27,11,23,41.893716984317685,-87.70731566848121,"(41.893716984317685, -87.70731566848121)"
6073,53934,Vacant/Abandoned Building,16-02858492,2016-04-27,,,,,,,,3229,W,61ST,ST,60629,1155779.87007062,1863993.7361673,23,8,66,41.78259000447301,-87.70441206099626,"(41.78259000447301, -87.70441206099626)"
6074,53935,Vacant/Abandoned Building,16-02951223,2016-04-30,Front,,Boarded,"SIDE WINDOW,  REAR",Vacant,false,true,3739,W,61ST,PL,60629,1152501.35478893,1863568.23252064,23,8,65,41.781487531983494,-87.71644338487833,"(41.781487531983494, -87.71644338487833)"
6075,53936,Vacant/Abandoned Building,16-02738539,2016-04-22,Front,,Boarded,,Vacant,false,false,5241,S,HERMITAGE,AVE,60609,1165567.76053277,1869941.0363247,16,9,61,41.79870807294732,-87.66835797543311,"(41.79870807294732, -87.66835797543311)"
6076,53937,Vacant/Abandoned Building,16-02657808,2016-04-19,Front,,Open,,Vacant,false,true,3746,W,61ST,PL,60629,1152454.05478893,1863566.93252064,23,8,65,41.7814848956374,-87.71661683380096,"(41.7814848956374, -87.71661683380096)"
6077,53938,Vacant/Abandoned Building,16-02544064,2016-04-15,Front,,Open,,Vacant,false,false,3745,W,61ST,PL,60629,1152460.75478893,1863567.13252064,23,8,65,41.7814853126012,-87.7165922645098,"(41.7814853126012, -87.7165922645098)"
6078,53939,Vacant/Abandoned Building,16-02340974,2016-04-07,Front,,Open,FRONT,Vacant,false,true,3759,W,58TH,ST,60629,1152300.24279399,1865884.50763361,23,8,62,41.787847701150284,-87.71711985654541,"(41.787847701150284, -87.71711985654541)"
6079,53940,Vacant/Abandoned Building,15-05725527,2015-10-28,Rear,,Open,,Vacant,false,false,5816,S,TRUMBULL,AVE,60629,1154374.05522469,1865836.50961273,23,8,63,41.787674948952066,-87.7095172254218,"(41.787674948952066, -87.7095172254218)"
6080,53941,Vacant/Abandoned Building,16-00114038,2016-01-07,Rear,,Open,,Vacant,false,true,7450,N,SACRAMENTO,AVE,60645,1155170.40849107,1949320.75730198,50,24,2,42.01674735614551,-87.70435296435639,"(42.01674735614551, -87.70435296435639)"
